# dataset=communities method=FRHSIC (Ours) task=regression n=1994 d=99
  FRHSIC (Ours)                      (lam=0.01) | MSE: 0.0193+/-0.0021 | GDP: 0.0291+/-0.0043 | MI: 0.0208 | MI_sk: 0.2009
  FRHSIC (Ours)                      (lam=0.1) | MSE: 0.0191+/-0.0019 | GDP: 0.0288+/-0.0047 | MI: 0.0124 | MI_sk: 0.1594
  FRHSIC (Ours)                      (lam=0.5) | MSE: 0.0194+/-0.0019 | GDP: 0.0269+/-0.0047 | MI: 0.0011 | MI_sk: 0.1581
  FRHSIC (Ours)                      (lam=1.0) | MSE: 0.0195+/-0.0021 | GDP: 0.0248+/-0.0048 | MI: 0.0023 | MI_sk: 0.1565
  FRHSIC (Ours)                      (lam=2.0) | MSE: 0.0195+/-0.0025 | GDP: 0.0214+/-0.0037 | MI: 0.0014 | MI_sk: 0.1475
  FRHSIC (Ours)                      (lam=5.0) | MSE: 0.0205+/-0.0028 | GDP: 0.0172+/-0.0022 | MI: 0.0038 | MI_sk: 0.1399
  FRHSIC (Ours)                      (lam=10.0) | MSE: 0.0220+/-0.0025 | GDP: 0.0148+/-0.0023 | MI: 0.0017 | MI_sk: 0.1468
  FRHSIC (Ours)                      (lam=20.0) | MSE: 0.0277+/-0.0027 | GDP: 0.0076+/-0.0023 | MI: 0.0000 | MI_sk: 0.1558
  FRHSIC (Ours)                      (lam=30.0) | MSE: 0.0368+/-0.0098 | GDP: 0.0062+/-0.0044 | MI: 0.0000 | MI_sk: 0.1512
  FRHSIC (Ours)                      (lam=50.0) | MSE: 0.0397+/-0.0121 | GDP: 0.0075+/-0.0089 | MI: 0.0000 | MI_sk: 0.1549
  FRHSIC (Ours)                      (lam=70.0) | MSE: 0.0520+/-0.0011 | GDP: 0.0004+/-0.0001 | MI: 0.0000 | MI_sk: 0.1438
  FRHSIC (Ours)                      (lam=100.0) | MSE: 0.0526+/-0.0016 | GDP: 0.0006+/-0.0004 | MI: 0.0000 | MI_sk: 0.1369
  FRHSIC (Ours)                      (lam=150.0) | MSE: 0.0527+/-0.0009 | GDP: 0.0006+/-0.0008 | MI: 0.0000 | MI_sk: 0.1445
  FRHSIC (Ours)                      (lam=200.0) | MSE: 0.0524+/-0.0009 | GDP: 0.0005+/-0.0005 | MI: 0.0000 | MI_sk: 0.1440
  FRHSIC (Ours)                      (lam=300.0) | MSE: 0.0531+/-0.0010 | GDP: 0.0001+/-0.0001 | MI: 0.0000 | MI_sk: 0.1403
  FRHSIC (Ours)                      (lam=500.0) | MSE: 0.0527+/-0.0010 | GDP: 0.0007+/-0.0012 | MI: 0.0000 | MI_sk: 0.1348
  FRHSIC (Ours)                      (lam=750.0) | MSE: 0.0533+/-0.0010 | GDP: 0.0002+/-0.0002 | MI: 0.0000 | MI_sk: 0.1553
  FRHSIC (Ours)                      (lam=1000.0) | MSE: 0.0534+/-0.0009 | GDP: 0.0002+/-0.0002 | MI: 0.0000 | MI_sk: 0.1533
