# dataset=compas method=FRHSIC (Ours) task=classification n=6172 d=16
  FRHSIC (Ours)                      (lam=0.01) | Acc: 0.6538+/-0.0136 | GDP: 0.1226+/-0.0255 | MI: 0.0000 | MI_sk: 0.2654
  FRHSIC (Ours)                      (lam=0.1) | Acc: 0.6546+/-0.0132 | GDP: 0.1220+/-0.0255 | MI: 0.0000 | MI_sk: 0.2553
  FRHSIC (Ours)                      (lam=0.5) | Acc: 0.6523+/-0.0144 | GDP: 0.1213+/-0.0258 | MI: 0.0000 | MI_sk: 0.2537
  FRHSIC (Ours)                      (lam=1.0) | Acc: 0.6533+/-0.0148 | GDP: 0.1209+/-0.0259 | MI: 0.0000 | MI_sk: 0.2549
  FRHSIC (Ours)                      (lam=2.0) | Acc: 0.6538+/-0.0142 | GDP: 0.1194+/-0.0265 | MI: 0.0000 | MI_sk: 0.2550
  FRHSIC (Ours)                      (lam=5.0) | Acc: 0.6539+/-0.0131 | GDP: 0.1152+/-0.0284 | MI: 0.0000 | MI_sk: 0.2448
  FRHSIC (Ours)                      (lam=10.0) | Acc: 0.6547+/-0.0105 | GDP: 0.1072+/-0.0262 | MI: 0.0000 | MI_sk: 0.2525
  FRHSIC (Ours)                      (lam=20.0) | Acc: 0.6492+/-0.0047 | GDP: 0.0904+/-0.0201 | MI: 0.0000 | MI_sk: 0.2285
  FRHSIC (Ours)                      (lam=30.0) | Acc: 0.6450+/-0.0088 | GDP: 0.0749+/-0.0169 | MI: 0.0000 | MI_sk: 0.2297
  FRHSIC (Ours)                      (lam=50.0) | Acc: 0.6351+/-0.0112 | GDP: 0.0551+/-0.0186 | MI: 0.0000 | MI_sk: 0.2202
  FRHSIC (Ours)                      (lam=70.0) | Acc: 0.6115+/-0.0330 | GDP: 0.0280+/-0.0153 | MI: 0.0000 | MI_sk: 0.2296
  FRHSIC (Ours)                      (lam=100.0) | Acc: 0.5738+/-0.0290 | GDP: 0.0123+/-0.0065 | MI: 0.0000 | MI_sk: 0.2319
  FRHSIC (Ours)                      (lam=150.0) | Acc: 0.5422+/-0.0113 | GDP: 0.0054+/-0.0031 | MI: 0.0000 | MI_sk: 0.2374
  FRHSIC (Ours)                      (lam=200.0) | Acc: 0.5466+/-0.0241 | GDP: 0.0043+/-0.0037 | MI: 0.0000 | MI_sk: 0.2320
  FRHSIC (Ours)                      (lam=300.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0023+/-0.0039 | MI: 0.0000 | MI_sk: 0.2277
  FRHSIC (Ours)                      (lam=500.0) | Acc: 0.5409+/-0.0091 | GDP: 0.0049+/-0.0047 | MI: 0.0000 | MI_sk: 0.2226
  FRHSIC (Ours)                      (lam=750.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0043+/-0.0069 | MI: 0.0000 | MI_sk: 0.2246
  FRHSIC (Ours)                      (lam=1000.0) | Acc: 0.5409+/-0.0090 | GDP: 0.0015+/-0.0020 | MI: 0.0000 | MI_sk: 0.2366
